TIME,POWER,CADENCE
20190106-202156,25,75.0
20190106-202157,25,75.0
20190106-202158,25,75.0
20190106-202159,25,75.0
20190106-202200,25,75.0
20190106-202201,25,75.0
20190106-202202,25,75.0
20190106-202203,25,75.0
20190106-202204,25,75.0
20190106-202205,25,75.0
20190106-202206,40,75.0
20190106-202207,40,75.0
20190106-202208,40,75.0
20190106-202209,40,75.0
20190106-202210,40,75.0
20190106-202211,40,75.0
20190106-202212,40,75.0
20190106-202213,40,75.0
20190106-202214,40,75.0
20190106-202215,40,75.0
20190106-202216,50,75.0
20190106-202217,50,75.0
20190106-202218,50,75.0
20190106-202219,50,75.0
20190106-202220,50,75.0
20190106-202221,50,75.0
20190106-202222,50,75.0
20190106-202223,50,75.0
20190106-202224,50,75.0
20190106-202225,50,75.0
20190106-202226,40,75.0
20190106-202227,40,75.0
20190106-202228,40,75.0
20190106-202229,40,75.0
20190106-202230,40,75.0
20190106-202231,40,75.0
20190106-202232,40,75.0
